Color,Name,Kms_Driven,Owner,Fuel,RTO,Tranmission,Price,Body_type,Variant,Airbags,Alloy_wheels,Cruise_control,Infotainment_system,Parking_sensors,Push_button_start,Steering_mounted_controls,Sunroof_moonroof
black,2018 Jeep Compass,"44,754 KM",1ST,DIESEL,MH-01,Manual,"₹10,64,000",luxury%20suv,SPORT 2.0 DIESELManual,1.0,,,,,,1.0,
black,2019 Mahindra XUV500,"93,825 KM",3RD,DIESEL,TS-11,Manual,"₹13,73,000",luxury%20suv,W9Manual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
black,2018 Mahindra XUV500,"96,022 KM",1ST,DIESEL,DL-10,Manual,"₹8,58,000",luxury%20suv,W7Manual,1.0,,1.0,1.0,1.0,1.0,1.0,
black,2019 Jeep Compass,"54,953 KM",2ND,DIESEL,UP-14,Manual,"₹11,77,000",luxury%20suv,SPORT PLUS 2.0 DIESELManual,,,,,,,,
black,2019 Jeep Compass,"66,819 KM",1ST,PETROL,PB-65,Manual,"₹11,99,000",luxury%20suv,SPORT PLUS 1.4 PETROLManual,,,,,,,,
black,2018 Jeep Compass,"94,302 KM",1ST,DIESEL,MH-14,Manual,"₹11,26,000",luxury%20suv,LONGITUDE (O) 2.0 DIESELManual,1.0,1.0,,1.0,1.0,1.0,1.0,
black,2015 Mahindra XUV500,"54,971 KM",1ST,DIESEL,KA-05,Manual,"₹9,76,000",luxury%20suv,W6Manual,,,,,,,,
black,2019 Hyundai Tucson New,"33,762 KM",1ST,DIESEL,KA-51,Manual,"₹17,36,000",luxury%20suv,2WD MT DIESELManual,,,,,,,,
black,2018 Jeep Compass,"60,466 KM",1ST,PETROL,TS-09,Automatic,"₹15,31,000",luxury%20suv,LIMITED PLUS PETROL ATAutomatic,,,,,,,,
black,2018 Jeep Compass,"1,19,135 KM",2ND,DIESEL,GJ-12,Manual,"₹9,15,000",luxury%20suv,SPORT 2.0 DIESELManual,1.0,,,,,,1.0,
black,2019 Jeep Compass,"84,927 KM",1ST,DIESEL,GJ-01,Automatic,"₹15,95,000",luxury%20suv,TRAILHAWK 2.0 AT 4X4Automatic,,,,,,,,
black,2017 Jeep Compass,"99,724 KM",1ST,DIESEL,MH-04,Manual,"₹11,22,000",luxury%20suv,LIMITED (O) 2.0 DIESELManual,,,,,,,,
black,2014 Mahindra XUV500,"87,667 KM",2ND,DIESEL,KA-04,Manual,"₹8,41,000",luxury%20suv,W6Manual,,,1.0,,1.0,,1.0,
black,2020 Mahindra XUV500,"62,948 KM",1ST,DIESEL,HR-51,Automatic,"₹14,26,000",luxury%20suv,W11 ATAutomatic,,,,,,,,
black,2014 Mahindra XUV500,"99,432 KM",1ST,DIESEL,RJ-14,Manual,"₹6,03,000",luxury%20suv,W6Manual,,,1.0,,1.0,,1.0,
black,2016 Mahindra XUV500,"56,975 KM",3RD,DIESEL,KA-03,Manual,"₹8,29,000",luxury%20suv,W6Manual,1.0,,1.0,,1.0,,1.0,
black,2015 Mahindra XUV500,"95,340 KM",1ST,DIESEL,TN-09,Manual,"₹8,62,000",luxury%20suv,W8Manual,1.0,1.0,1.0,,1.0,,1.0,
black,2018 Mahindra XUV500,"1,24,586 KM",1ST,DIESEL,TS-13,Manual,"₹11,78,000",luxury%20suv,W10 1.99Manual,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
black,2019 Jeep Compass,"26,583 KM",1ST,DIESEL,GJ-06,Manual,"₹11,96,000",luxury%20suv,LONGITUDE (O) 2.0 DIESELManual,1.0,1.0,,1.0,1.0,1.0,1.0,
black,2018 Jeep Compass,"79,040 KM",1ST,DIESEL,KA-53,Manual,"₹12,01,000",luxury%20suv,SPORT 2.0 DIESELManual,1.0,,,,,,1.0,
black,2012 Mahindra XUV500,"43,941 KM",1ST,DIESEL,KA-04,Manual,"₹6,63,000",luxury%20suv,W8Manual,,1.0,1.0,,1.0,,1.0,
black,2020 Mahindra XUV500,"49,824 KM",2ND,DIESEL,HR-26,Manual,"₹10,77,000",luxury%20suv,W5Manual,1.0,,,,1.0,,,
black,2020 Jeep Compass,"22,992 KM",1ST,DIESEL,TN-01,Manual,"₹18,27,000",luxury%20suv,LIMITED PLUS DIESELManual,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
